number of clusters = 909
Cluster 0 (10) : 
0: Input vars: (0x0), const(0xc), (0x0), const(0xd), and (0x0) 
3847: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

4006: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

4012: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

4017: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

4023: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

4024: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

4142: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

4310: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

4312: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

4316: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

4419: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

4429: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

4445: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

4585: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

4590: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

4712: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

4725: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

4908: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

4911: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

4918: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Cluster 7 (7) : 
8: Input vars: const(0xfffd2d88), const(0x10), (0x3), 32-to-1(0x5), and (0x0) 

330: Input vars: const(0x7ffd2d88), const(0x10), 32-to-32C(0x3), 32-to-1(0x3), and (0x0) 

503: Input vars: const(0xfffd2d88), const(0x10), (0x3), 32-to-1(0x5), and (0x0) 

861: Input vars: const(0xfffd2d88), const(0x10), (0x3), 32-to-1(0x5), and (0x0) 

3145: Input vars: const(0xfffd2d88), const(0x10), (0x3), 32-to-1(0x9), and (0x0) 

3319: Input vars: const(0xfffd2d88), const(0x10), 32-to-32C(0x3), 32-to-1(0x3), and (0x0) 

4713: Input vars: const(0xfffd2d88), const(0x10), 32-to-32C(0x3), 1-to-32S(0x3), and (0x0) 

Cluster 8 (35) : 
9: Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

328: Input vars: 1-to-32Z(0x0), (0x0), const(0x80000003), (0x0), and (0x0) 

342: Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

434: Input vars: 1-to-32Z(0x0), (0x0), const(0x80000003), (0x0), and (0x0) 

493: Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

661: Input vars: 1-to-32Z(0x0), (0x0), const(0x3), (0x0), and (0x0) 

1025: Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

1217: Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

1482: Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

1780: Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

1923: Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

2065: Input vars: 1-to-32Z(0x0), (0x0), const(0x3), 32-to-1(0x1), and (0x0) 

2358: Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

2469: Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

2474: Input vars: 1-to-32Z(0x0), (0x0), const(0x3), 32-to-1(0x1), and (0x0) 

2478: Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

2642: Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

2709: Input vars: 1-to-32Z(0x0), (0x0), const(0x80000003), const(0x1888242c), and (0x0) 

2772: Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

3130: Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

3135: Input vars: (0x0), const(0x2), 32-to-32C(0x0), const(0x3), and (0x0) 

3151: Input vars: 1-to-32Z(0x0), (0x0), const(0x3), (0x0), and (0x0) 

3302: Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

3303: Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

3314: Input vars: 1-to-32Z(0x0), (0x0), const(0x3), 32-to-1(0x1), and (0x0) 

3627: Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

3635: Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

4251: Input vars: 1-to-32Z(0x0), (0x0), const(0x3), const(0x7), and (0x0) 

4398: Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

4414: Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

4714: Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

4786: Input vars: 1-to-32Z(0x0), (0x0), const(0x3), (0x0), and (0x0) 

4892: Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

4913: Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

5021: Input vars: 1-to-32Z(0x0), (0x0), const(0x80000003), const(0x18882844), and (0x0) 

Cluster 9 (9) : 
10: Input vars: 1-to-32Z(0x8), (0x8), const(0x80000003), const(0x3001), and (0x0) 

326: Input vars: 1-to-32Z(0x8), (0x8), const(0x80000003), 32-to-1(0xa), and (0x0) 

1356: Input vars: 1-to-32Z(0x8), (0x8), const(0x80000003), 32-to-1(0xa), and (0x0) 

3309: Input vars: 1-to-32Z(0x8), (0x8), const(0x80000003), 32-to-1(0xa), and (0x0) 

3629: Input vars: 1-to-32Z(0x8), (0x8), const(0x80000003), 32-to-1(0xa), and (0x0) 

3990: Input vars: 1-to-32Z(0x8), (0x8), const(0x80000003), 32-to-1(0xa), and (0x0) 

4280: Input vars: 1-to-32Z(0x8), (0x8), const(0x3), 32-to-1(0x2), and (0x0) 

4583: Input vars: 1-to-32Z(0x8), (0x8), const(0x80000003), 32-to-1(0xa), and (0x0) 

4912: Input vars: 1-to-32Z(0x8), (0x8), const(0x80000003), 32-to-1(0xa), and (0x0) 

Cluster 10 (2) : 
12: Input vars: const(0x50000018), const(0x6ffff0d9), 32-to-1(0x2), const(0x0), and 8-to-32S(0x0) 

2072: Input vars: const(0x8018), const(0x2d9), 32-to-1(0x2), const(0x0), and 8-to-32S(0x0) 

Cluster 11 (9) : 
13: Input vars: const(0x0), const(0x400), 32-to-32C(0x5), const(0x6), and (0x0) 

847: Input vars: const(0x80000000), const(0x400), (0x5), 1-to-32Z(0x1), and (0x0) 

1531: Input vars: const(0x0), const(0x400), 32-to-32C(0x5), (0x0), and (0x0) 

1803: Input vars: const(0x0), const(0x400), (0x5), 1-to-32S(0x9), and (0x0) 

2093: Input vars: const(0x0), const(0x400), 32-to-32C(0x5), const(0x401), and (0x0) 

2112: Input vars: const(0x0), const(0x400), 32-to-32C(0x5), 1-to-32S(0x1), and (0x0) 

2499: Input vars: const(0x0), const(0x400), (0x5), 1-to-32S(0x9), and (0x0) 

3140: Input vars: const(0x0), const(0x400), (0x5), const(0x401), and (0x0) 

4290: Input vars: const(0x0), const(0x400), (0x5), const(0x80000008), and (0x0) 

Cluster 12 (43) : 
14: Input vars: (0x0), const(0xffffffa4), 32-to-32C(0x0), const(0xffffffa5), and (0x0) 

24: Input vars: (0x0), const(0xffffffa4), 32-to-32C(0x0), const(0xffffffa5), and (0x0) 

180: Input vars: (0x0), const(0xffffffa4), 32-to-32C(0x0), const(0xffffffa5), and (0x0) 

183: Input vars: (0x0), const(0xffffffa4), (0x0), const(0xffffffa5), and (0x0) 

324: Input vars: (0x0), const(0xffffffa4), (0x0), const(0xffffffa5), and (0x0) 

437: Input vars: (0x0), const(0xffffffa4), (0x0), const(0xffffffa5), and (0x0) 

495: Input vars: (0x0), const(0xffffffa4), (0x0), const(0xffffffa5), and (0x0) 

