number of clusters = 110
Cluster 1 (67) : 
233: Input vars: 32-to-32C(0xb), const(0x0), const(0xffffffff), and (0x0) 

234: Input vars: (0x0), const(0xffffffff), const(0x0), and (0x0) 

237: Input vars: 32-to-32C(0x3), const(0x0), const(0xffffffff), and (0x0) 

242: Input vars: (0x0), const(0xffffffff), const(0x0), and (0x0) 

251: Input vars: 32-to-32C(0xb), const(0x0), const(0xffffffff), and (0x0) 

272: Input vars: 32-to-32C(0x5), const(0x0), const(0xffffffff), and (0x0) 

273: Input vars: 32-to-32C(0xa), const(0x0), const(0xffffffff), and (0x0) 

276: Input vars: (0x0), const(0xffffffff), const(0x0), and (0x0) 

280: Input vars: 32-to-32C(0xa), const(0x0), const(0xffffffff), and (0x0) 

282: Input vars: 32-to-32C(0x8), const(0x0), const(0xffffffff), and (0x0) 

293: Input vars: 32-to-32C(0x8), const(0x0), const(0xffffffff), and (0x0) 

294: Input vars: 32-to-32C(0x8), const(0x0), const(0xffffffff), and (0x0) 

298: Input vars: 32-to-32C(0x2), const(0x0), const(0xffffffff), and (0x0) 

316: Input vars: 32-to-32C(0xb), const(0x0), const(0xffffffff), and (0x0) 

320: Input vars: 32-to-32C(0x2), const(0x0), const(0xffffffff), and (0x0) 

321: Input vars: (0x0), const(0xffffffff), const(0x0), and (0x0) 

334: Input vars: 32-to-32C(0xa), const(0x0), const(0xffffffff), and (0x0) 

360: Input vars: 32-to-32C(0x2), const(0x0), const(0xffffffff), and (0x0) 

368: Input vars: 32-to-32C(0x2), const(0x0), const(0xffffffff), and (0x0) 

401: Input vars: 32-to-32C(0x5), const(0x0), const(0xffffffff), and (0x0) 

405: Input vars: 32-to-32C(0xb), const(0x0), const(0xffffffff), and (0x0) 

406: Input vars: 32-to-32C(0xb), const(0x0), const(0xffffffff), and (0x0) 

407: Input vars: (0x0), const(0xffffffff), const(0x0), and (0x0) 

420: Input vars: 32-to-32C(0xa), const(0x0), const(0xffffffff), and (0x0) 

424: Input vars: 32-to-32C(0x7), const(0x0), const(0xffffffff), and (0x0) 

427: Input vars: 32-to-32C(0xc), const(0x0), const(0xffffffff), and (0x0) 

431: Input vars: 32-to-32C(0x8), const(0x0), const(0xffffffff), and (0x0) 

446: Input vars: 32-to-32C(0x7), const(0x0), const(0xffffffff), and (0x0) 

449: Input vars: 32-to-32C(0x8), const(0x0), const(0xffffffff), and (0x0) 

450: Input vars: 32-to-32C(0x8), const(0x0), const(0xffffffff), and (0x0) 

466: Input vars: 32-to-32C(0x2), const(0x0), const(0xffffffff), and (0x0) 

471: Input vars: 32-to-32C(0x3), const(0x0), const(0xffffffff), and (0x0) 

487: Input vars: (0x0), const(0xffffffff), const(0x0), and (0x0) 

500: Input vars: 32-to-32C(0x2), const(0x0), const(0xffffffff), and (0x0) 

504: Input vars: 32-to-32C(0xb), const(0x0), const(0xffffffff), and (0x0) 

510: Input vars: 32-to-32C(0x2), const(0x0), const(0xffffffff), and (0x0) 

545: Input vars: 32-to-32C(0x5), const(0x0), const(0xffffffff), and (0x0) 

549: Input vars: (0x0), const(0xffffffff), const(0x0), and (0x0) 

553: Input vars: (0x0), const(0xffffffff), const(0x0), and (0x0) 

565: Input vars: 32-to-32C(0x5), const(0x0), const(0xffffffff), and (0x0) 

Cluster 16 (11) : 
21: Input vars: const(0x40), 32-to-32C(0x2), (0x2), and 16-to-32Z(0x0) 

140: Input vars: const(0x40), 32-to-32C(0x2), (0x2), and 16-to-32Z(0x0) 

175: Input vars: const(0x40), const(0x5), (0x2), and 16-to-32Z(0x0) 

182: Input vars: const(0x40), 32-to-32C(0x2), (0x2), and 16-to-32Z(0x0) 

219: Input vars: const(0x40), 32-to-32C(0x2), (0x2), and 16-to-32Z(0x0) 

222: Input vars: const(0x40), 32-to-32C(0x2), (0x2), and 16-to-32Z(0x0) 

322: Input vars: const(0x40), const(0x80000002), (0x2), and 16-to-32Z(0x0) 

346: Input vars: const(0x40), const(0x80000002), (0x2), and 16-to-32Z(0x0) 

428: Input vars: const(0x40), 32-to-1(0x5), (0x2), and 16-to-32Z(0x0) 

432: Input vars: const(0x40), const(0x80000002), (0x2), and 16-to-32Z(0x0) 

544: Input vars: const(0x40), 32-to-1(0x5), (0x2), and 16-to-32Z(0x0) 

Cluster 17 (33) : 
22: Input vars: 32-to-32C(0x0), const(0x80010000), const(0x80000008), and 16-to-32Z(0x0) 

23: Input vars: 32-to-32C(0x0), const(0x80010000), const(0x80000008), and 16-to-32Z(0x0) 

40: Input vars: 32-to-32C(0x0), const(0x80010000), const(0x80000008), and 16-to-32Z(0x0) 

56: Input vars: 32-to-32C(0x0), const(0x80010000), const(0x80000008), and 16-to-32Z(0x0) 

75: Input vars: 32-to-32C(0x0), const(0x80010000), const(0x80000008), and 16-to-32Z(0x0) 

76: Input vars: 32-to-32C(0x0), const(0x80010000), const(0x80000008), and 16-to-32Z(0x0) 

94: Input vars: 32-to-32C(0x0), const(0x80010000), const(0x80000008), and 16-to-32Z(0x0) 

95: Input vars: 32-to-32C(0x0), const(0x80010000), const(0x80000008), and 16-to-32Z(0x0) 

112: Input vars: 32-to-32C(0x0), const(0x80010000), const(0x80000008), and 16-to-32Z(0x0) 

150: Input vars: 32-to-32C(0x0), const(0x80010000), const(0x80000008), and 16-to-32Z(0x0) 

168: Input vars: 32-to-32C(0x0), const(0x80010000), const(0x80000008), and 16-to-32Z(0x0) 

169: Input vars: 32-to-32C(0x0), const(0x80010000), const(0x80000008), and 16-to-32Z(0x0) 

227: Input vars: 32-to-32C(0x0), const(0x80010000), const(0x80000008), and 16-to-32Z(0x0) 

228: Input vars: 32-to-32C(0x0), const(0x80010000), const(0x80000008), and 16-to-32Z(0x0) 

245: Input vars: 32-to-32C(0x0), const(0x80010000), const(0x80000008), and 16-to-32Z(0x0) 

284: Input vars: 32-to-32C(0x0), const(0x80010000), const(0x80000008), and 16-to-32Z(0x0) 

285: Input vars: 32-to-32C(0x2), const(0x80010000), const(0x80000008), and 16-to-32Z(0x0) 

288: Input vars: 32-to-32C(0x0), const(0x80010000), const(0x80000008), and 16-to-32Z(0x0) 

343: Input vars: 32-to-32C(0x0), const(0x80010000), const(0x80000008), and 16-to-32Z(0x0) 

358: Input vars: 32-to-32C(0x0), const(0x80010000), const(0x80000008), and 16-to-32Z(0x0) 

370: Input vars: 32-to-32C(0x0), const(0x80010000), const(0x80000008), and 16-to-32Z(0x0) 

371: Input vars: 32-to-32C(0x0), const(0x80010000), const(0x80000008), and 16-to-32Z(0x0) 

396: Input vars: 32-to-32C(0x2), const(0x80010000), const(0x80000008), and 8-to-32S(0x0) 

399: Input vars: 32-to-32C(0x0), const(0x80010000), const(0x80000008), and 16-to-32Z(0x0) 

436: Input vars: 32-to-32C(0x0), const(0x80010000), const(0x80000008), and 16-to-32Z(0x0) 

477: Input vars: 32-to-32C(0x0), const(0x80010000), const(0x80000008), and 16-to-32Z(0x0) 

478: Input vars: 32-to-32C(0x0), const(0x80010000), const(0x80000008), and 16-to-32Z(0x0) 

497: Input vars: 32-to-32C(0x0), const(0x80010000), const(0x80000008), and 16-to-32Z(0x0) 

515: Input vars: 32-to-32C(0x2), const(0x80010000), const(0x80000008), and 8-to-32S(0x0) 

535: Input vars: 32-to-32C(0x0), const(0x80010000), const(0x80000008), and 16-to-32Z(0x0) 

536: Input vars: 32-to-32C(0x0), const(0x80010000), const(0x80000008), and 16-to-32Z(0x0) 

558: Input vars: 32-to-32C(0x0), const(0x80010000), const(0x80000008), and 16-to-32Z(0x0) 

559: Input vars: 32-to-32C(0x0), const(0x80010000), const(0x80000008), and 16-to-32Z(0x0) 

Cluster 18 (2) : 
24: Input vars: 32-to-1(0x1), const(0x1), const(0xfffffffe), and (0x0) 

167: Input vars: 32-to-1(0x1), const(0x1), const(0xfffffffe), and (0x0) 

Cluster 19 (14) : 
25: Input vars: (0x0), const(0x0), 32-to-1(0x0), and (0x0) 

57: Input vars: (0x0), const(0x0), 32-to-1(0x0), and (0x0) 

58: Input vars: (0x5), const(0x8), const(0x8104000d), and 1-to-32Z(0x0) 

79: Input vars: (0x3), const(0x0), const(0x2), and 32-to-1(0x0) 

98: Input vars: (0x4), const(0x0), 32-to-1(0x4), and (0x0) 

202: Input vars: (0x0), const(0x4), const(0x8001800b), and 1-to-32Z(0x0) 

266: Input vars: (0x0), const(0x0), 32-to-1(0x0), and (0x0) 

289: Input vars: (0x0), const(0x0), 32-to-1(0x0), and (0x0) 

299: Input vars: (0x2), const(0x6), 32-to-1(0x2), and 1-to-32Z(0x0) 

301: Input vars: const(0x0), (0x3), const(0x7ffffffd), and 32-to-1(0x0) 

302: Input vars: (0x3), const(0x0), const(0x3), and 32-to-1(0x0) 

459: Input vars: (0x0), const(0x0), 32-to-1(0x0), and (0x0) 

